m_ageb;fx
10;0,000335683
11;0,000335683
12;0,000671366
13;0,000335683
14;0,002014099
15;0,002685465
16;0,00537093
17;0,008392078
18;0,018798254
19;0,032561262
20;0,055723397
21;0,094998322
22;0,11748909
23;0,170862706
24;0,183954347
25;0,2306143
26;0,252769386
27;0,298422289
28;0,298086606
29;0,323598523
30;0,328969453
31;0,341054045
32;0,321584424
33;0,325948305
34;0,315877811
35;0,305807318
36;0,304800269
37;0,272574689
38;0,258811682
39;0,234978181
40;0,212151729
41;0,179590467
42;0,145686472
43;0,104733132
44;0,076871433
45;0,053709298
46;0,028533065
47;0,015777106
48;0,01074186
49;0,005706613
50;0,003021148
